date,category,Exports_US$,volume,unit_price
7/1/2020,Cotton Cloth,149380000,33646,4.439755097
7/1/2020,Cotton Crd/Cmd,0,0,
7/1/2020,Non-Cotton Yarn,1777000,822,2.16
7/1/2020,Knitwear,314765000,10385000,27.81
7/1/2020,Bedwear,243196000,41082,5.919770216
7/1/2020,Towels,77823000,18072,4.29
7/1/2020,"Tents, Tarpaulines",12005000,3568,3.36
7/1/2020,Garments,274237000,3787000,72.4
7/1/2020,Artificial Silk & Synthetics,28388000,38455,0.74
7/1/2020,Madeups,60805000,0,
7/1/2020,Other Textiles,48769000,0,
8/1/2020,Raw Cotton,230000,206,
8/1/2020,Cotton Yarn,54613000,25472,2.144040515
8/1/2020,Cotton Cloth,145344000,32872,4.42151375
8/1/2020,Cotton Crd/Cmd,0,0,
8/1/2020,Non-Cotton Yarn,1696000,750,2.26
8/1/2020,Knitwear,248644000,7767000,32.01
8/1/2020,Bedwear,180989000,30249,5.983305233
8/1/2020,Towels,55281000,12794,4.32
8/1/2020,"Tents, Tarpaulines",7499000,2418,3.1
8/1/2020,Garments,202979000,2450000,82.8
8/1/2020,Artificial Silk & Synthetics,23223000,25999,0.89
8/1/2020,Madeups,49040000,0,
8/1/2020,Other Textiles,37974000,0,
9/1/2020,Raw Cotton,41000,34,
9/1/2020,Cotton Yarn,55339000,25472,2.172542399
9/1/2020,Cotton Cloth,162336000,35426,4.582397109
9/1/2020,Cotton Crd/Cmd,0,0,
9/1/2020,Non-Cotton Yarn,2111000,1026,2.06
9/1/2020,Knitwear,296442000,14864000,28.91
9/1/2020,Bedwear,227300000,37853,6.002588005
9/1/2020,Towels,71504000,16884,4.24
9/1/2020,"Tents, Tarpaulines",8680000,3025,2.87
9/1/2020,Garments,224226000,2650000,84.6
9/1/2020,Artificial Silk & Synthetics,24002000,10489,2.29
9/1/2020,Madeups,62758000,0,
9/1/2020,Other Textiles,54995000,0,
10/1/2020,Raw Cotton,252000,206,
10/1/2020,Cotton Yarn,59853000,26120,2.291462481
10/1/2020,Cotton Cloth,167819000,35869,4.678664027
10/1/2020,Cotton Crd/Cmd,0,0,
10/1/2020,Non-Cotton Yarn,2451000,1155,2.12
10/1/2020,Knitwear,322783000,17600000,18.34
10/1/2020,Bedwear,248071000,40676,6.098706854
10/1/2020,Towels,78649000,18796,4.18
10/1/2020,"Tents, Tarpaulines",12346000,4678,2.64
10/1/2020,Garments,245628000,2933000,83.7
10/1/2020,Artificial Silk & Synthetics,29613000,8224,3.6
10/1/2020,Madeups,68176000,0,
10/1/2020,Other Textiles,53958000,0,
11/1/2020,Raw Cotton,0,0,
11/1/2020,Cotton Yarn,74224000,31683,2.342707446
11/1/2020,Cotton Cloth,148292000,31953,4.640941383
11/1/2020,Cotton Crd/Cmd,0,0,
11/1/2020,Non-Cotton Yarn,2512000,1258,2
11/1/2020,Knitwear,324916000,18649000,17.42
11/1/2020,Bedwear,238620000,39264,6.077322738
11/1/2020,Towels,79445000,18733,4.24
11/1/2020,"Tents, Tarpaulines",9711000,4829,2.01
11/1/2020,Garments,258396000,3086000,83.7
11/1/2020,Artificial Silk & Synthetics,28819000,7023,4.1
11/1/2020,Madeups,66320000,0,
11/1/2020,Other Textiles,51703000,0,
12/1/2020,Raw Cotton,70000,53,
12/1/2020,Cotton Yarn,96181000,39401,2.446255977
12/1/2020,Cotton Cloth,161838000,36034,4.491258256
12/1/2020,Cotton Crd/Cmd,0,0,
12/1/2020,Non-Cotton Yarn,2917000,1291,2.26
12/1/2020,Knitwear,342046000,16552000,20.66
12/1/2020,Bedwear,256007000,42105,6.080133001
12/1/2020,Towels,82995000,19013,4.37
12/1/2020,"Tents, Tarpaulines",12238000,4618,2.65
12/1/2020,Garments,284702000,3480000,81.8
12/1/2020,Artificial Silk & Synthetics,33458000,8165,4.1
12/1/2020,Madeups,72133000,0,
12/1/2020,Other Textiles,56424000,0,
1/1/2021,Raw Cotton,0,0,
1/1/2021,Cotton Yarn,85693000,32694,2.621061969
1/1/2021,Cotton Cloth,151324000,32091,4.715465395
1/1/2021,Cotton Crd/Cmd,0,0,
1/1/2021,Non-Cotton Yarn,3578000,1558,2.3
1/1/2021,Knitwear,325425000,10738000,21.4
1/1/2021,Bedwear,219327000,40890,6.153438263
1/1/2021,Towels,87510000,19390,4.49
1/1/2021,"Tents, Tarpaulines",11420000,4158,2.75
1/1/2021,Garments,283030000,3531000,80.2
1/1/2021,Artificial Silk & Synthetics,33187000,8165,4.06
1/1/2021,Madeups,67691000,0,
1/1/2021,Other Textiles,55270000,0,
2/1/2021,Raw Cotton,0,0,
2/1/2021,Cotton Yarn,120259000,44606,2.69602744
2/1/2021,Cotton Cloth,148965000,34544,4.312326308
2/1/2021,Cotton Crd/Cmd,0,0,
2/1/2021,Non-Cotton Yarn,3293000,1328,2.48
2/1/2021,Knitwear,291985000,14887000,19.61
2/1/2021,Bedwear,203373000,33013,6.160391361
2/1/2021,Towels,77477000,17214,4.5
2/1/2021,"Tents, Tarpaulines",8333000,3045,2.74
2/1/2021,Garments,238451000,3001000,79.5
2/1/2021,Artificial Silk & Synthetics,29158000,7033,4.15
2/1/2021,Madeups,59108000,0,
2/1/2021,Other Textiles,53629000,0,
3/1/2021,Raw Cotton,0,0,
3/1/2021,Cotton Yarn,114523000,39063,2.931751274
3/1/2021,Cotton Cloth,183882000,37705,4.876859833
3/1/2021,Cotton Crd/Cmd,64000,49,
3/1/2021,Non-Cotton Yarn,3230000,1609,2.01
3/1/2021,Knitwear,313876000,15235000,20.6
3/1/2021,Bedwear,235378000,38344,6.138587523
3/1/2021,Towels,81427000,18131,4.49
3/1/2021,"Tents, Tarpaulines",6928000,2326,2.98
3/1/2021,Garments,256925000,3125000,82.2
3/1/2021,Artificial Silk & Synthetics,39358000,9059,4.34
3/1/2021,Madeups,59508000,0,
3/1/2021,Other Textiles,60469000,0,
4/1/2021,Raw Cotton,0,0,
4/1/2021,Cotton Yarn,102733000,34358,2.990075092
4/1/2021,Cotton Cloth,162382000,36981,4.390957519
4/1/2021,Cotton Crd/Cmd,0,0,
4/1/2021,Non-Cotton Yarn,3436000,1291,2.66
4/1/2021,Knitwear,345199000,12549000,27.51
4/1/2021,Bedwear,239520000,39592,6.049707012
4/1/2021,Towels,84598000,18717,4.52
4/1/2021,"Tents, Tarpaulines",6565000,2388,2.75
4/1/2021,Garments,243642000,3066000,79.5
4/1/2021,Artificial Silk & Synthetics,32441000,7817,4.15
4/1/2021,Madeups,61799000,0,
4/1/2021,Other Textiles,55070000,0,
5/1/2021,Raw Cotton,0,0,
5/1/2021,Cotton Yarn,72084000,23560,3.05959253
5/1/2021,Cotton Cloth,134651000,25322,5.317549957
5/1/2021,Cotton Crd/Cmd,0,0,
5/1/2021,Non-Cotton Yarn,1918000,832,2.31
5/1/2021,Knitwear,293138000,11863000,24.71
5/1/2021,Bedwear,181000000,28547,6.34042106
5/1/2021,Towels,61797000,13387,4.62
5/1/2021,"Tents, Tarpaulines",5923000,1740,3.4
5/1/2021,Garments,194817000,3359000,58
5/1/2021,Artificial Silk & Synthetics,24509000,5416,4.53
5/1/2021,Madeups,48665000,0,
5/1/2021,Other Textiles,41626000,0,
6/1/2021,Raw Cotton,211000,95,
6/1/2021,Cotton Yarn,120931000,39418,3.067913136
6/1/2021,Cotton Cloth,204785000,46667,4.388218656
6/1/2021,Cotton Crd/Cmd,0,0,
6/1/2021,Non-Cotton Yarn,4457000,1696,2.63
6/1/2021,Knitwear,411024000,21077000,19.5
6/1/2021,Bedwear,299007000,51362,5.821560687
6/1/2021,Towels,99031000,22226,4.46
6/1/2021,"Tents, Tarpaulines",8734000,2969,2.94
6/1/2021,Garments,325908000,3932000,82.9
6/1/2021,Artificial Silk & Synthetics,44268000,10448,4.24
6/1/2021,Madeups,79034000,0,
6/1/2021,Other Textiles,62652000,0,
7/1/2021,Raw Cotton,0,0,
7/1/2021,Cotton Yarn,89871000,29278,3.123119158
7/1/2021,Cotton Cloth,179443000,41504,4.323510987
7/1/2021,Cotton Crd/Cmd,388000,306,
7/1/2021,Non-Cotton Yarn,2863000,1117,2.56
7/1/2021,Knitwear,392711000,10519000,24.45
7/1/2021,Bedwear,263345000,47603,6.480853472
7/1/2021,Towels,77818000,18822,4.78
7/1/2021,"Tents, Tarpaulines",6613000,2125,3.11
7/1/2021,Garments,301153000,3709000,81.2
7/1/2021,Artificial Silk & Synthetics,32360000,8189,3.95
7/1/2021,Madeups,67104000,19623,
7/1/2021,Other Textiles,57516000,40532,
8/1/2021,Raw Cotton,0,0,
8/1/2021,Cotton Yarn,103518000,32880,3.148357664
8/1/2021,Cotton Cloth,188181000,46170,4.07582846
8/1/2021,Cotton Crd/Cmd,382000,303,
8/1/2021,Non-Cotton Yarn,4907000,1794,2.74
8/1/2021,Knitwear,363811000,10379000,35.09
8/1/2021,Bedwear,264764000,46678,5.672136767
8/1/2021,Towels,82796000,19531,4.24
8/1/2021,"Tents, Tarpaulines",5637000,2144,2.63
8/1/2021,Garments,283788000,3353000,84.6
8/1/2021,Artificial Silk & Synthetics,36842000,9576,3.85
8/1/2021,Madeups,66252000,0,
8/1/2021,Other Textiles,61676000,0,
9/1/2021,Raw Cotton,0,0,
9/1/2021,Cotton Yarn,95228000,28896,3.295542636
9/1/2021,Cotton Cloth,189457000,37623,5.03566967
9/1/2021,Cotton Crd/Cmd,703000,481,
9/1/2021,Non-Cotton Yarn,4656000,1673,2.78
9/1/2021,Knitwear,388065000,10903000,35.59
9/1/2021,Bedwear,275150000,48010,5.731097688
9/1/2021,Towels,80693000,16968,4.76
9/1/2021,"Tents, Tarpaulines",8927000,2995,2.98
9/1/2021,Garments,276228000,3293000,83.9
9/1/2021,Artificial Silk & Synthetics,38745000,9428,4.11
9/1/2021,Madeups,64072000,0,
9/1/2021,Other Textiles,65220000,0,
10/1/2021,Raw Cotton,0,0,
10/1/2021,Cotton Yarn,106148000,33213,3.318058204
10/1/2021,Cotton Cloth,183630000,35438,5.181725831
10/1/2021,Cotton Crd/Cmd,69000,51,0
10/1/2021,Non-Cotton Yarn,4814000,1741,2.77
10/1/2021,Knitwear,457191000,12334000,37.53
10/1/2021,Bedwear,287865000,46669,6.720322166
10/1/2021,Towels,82078000,16692,4.92
10/1/2021,"Tents, Tarpaulines",9633000,3804,2.53
10/1/2021,Garments,297434000,3548000,83.8
10/1/2021,Artificial Silk & Synthetics,35373000,8108,4.36
10/1/2021,Madeups,71155000,22454,
10/1/2021,Other Textiles,65540000,48791,0
11/1/2021,Raw Cotton,0,0,
11/1/2021,Cotton Yarn,109133000,31000,3.529413667
11/1/2021,Cotton Cloth,204848000,38239,5.357043856
11/1/2021,Cotton Crd/Cmd,62000,45,
11/1/2021,Non-Cotton Yarn,5839000,2100,2.78
11/1/2021,Knitwear,458966000,21181000,29.72
